order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,gross_sales,net_sales,order_status,completed_order,traffic_source
900001,2025-12-14,10231,2024,3,193.56,0.0,580.68,580.68,Completed,1,Organic
900002,2025-07-07,10204,2021,3,121.12,0.0,363.36,363.36,Completed,1,Direct
900003,2025-09-13,10266,2025,5,57.0,0.0,285.0,285.0,Completed,1,Direct
900004,2025-04-20,10314,2019,4,315.66,0.0,1262.64,1262.64,Completed,1,Organic
900005,2025-03-30,10461,2046,4,403.43,0.2,1613.72,1290.98,Completed,1,Referral
900006,2025-06-13,10342,2023,1,135.34,0.05,135.34,128.57,Completed,1,Paid
900007,2025-03-22,10365,2046,2,403.43,0.1,806.86,726.17,Completed,1,Organic
900008,2025-04-13,10406,2009,2,291.4,0.1,582.8,524.52,Completed,1,Email
900009,2025-07-08,10240,2052,5,196.34,0.0,981.7,981.7,Cancelled,0,Organic
900010,2025-07-23,10368,2047,4,227.32,0.05,909.28,863.82,Completed,1,Direct
900011,2025-02-07,10065,2021,1,121.12,0.0,121.12,121.12,Completed,1,Paid
900012,2026-03-26,10425,2050,5,249.1,0.05,1245.5,1183.22,Completed,1,Referral
900013,2025-08-10,10258,2059,1,352.1,0.1,352.1,316.89,Completed,1,Paid
900014,2025-03-24,10166,2060,2,258.72,0.0,517.44,517.44,Cancelled,0,Direct
900015,2026-03-10,10041,2017,2,378.92,0.05,757.84,719.95,Completed,1,Organic
900016,2025-06-05,10315,2035,1,332.95,0.05,332.95,316.3,Completed,1,Referral
900017,2025-03-20,10088,2043,5,92.47,0.1,462.35,416.12,Completed,1,Direct
900018,2025-10-16,10022,2053,1,26.72,0.0,26.72,26.72,Cancelled,0,Direct
900019,2025-05-16,10334,2014,5,162.52,0.0,812.6,812.6,Completed,1,Paid
900020,2025-11-18,10280,2019,3,315.66,0.05,946.98,899.63,Completed,1,Email
900021,2025-06-02,10233,2005,1,170.59,0.0,170.59,170.59,Completed,1,Paid
900022,2025-06-24,10311,2010,3,53.34,0.15,160.02,136.02,Completed,1,Referral
900023,2025-06-26,10500,2026,2,15.26,0.1,30.52,27.47,Completed,1,Organic
900024,2025-05-04,10239,2008,3,362.16,0.0,1086.48,1086.48,Completed,1,Organic
900025,2025-07-16,10443,2040,4,27.36,0.0,109.44,109.44,Completed,1,Organic
900026,2025-06-17,10479,2037,3,352.38,0.0,1057.14,1057.14,Completed,1,Referral
900027,2025-08-28,10256,2057,3,429.13,0.05,1287.39,1223.02,Completed,1,Paid
900028,2025-08-23,10495,2016,2,173.71,0.05,347.42,330.05,Completed,1,Paid
900029,2025-11-02,10452,2054,4,449.18,0.0,1796.72,1796.72,Completed,1,Organic
900030,2025-03-10,10452,2017,3,378.92,0.1,1136.76,1023.08,Completed,1,Paid
900031,2025-10-19,10288,2013,3,426.31,0.05,1278.93,1214.98,Completed,1,Paid
900032,2026-01-27,10282,2018,5,68.82,0.1,344.1,309.69,Completed,1,Referral
900033,2025-07-21,10192,2051,3,300.13,0.05,900.39,855.37,Completed,1,Organic
900034,2025-11-05,10261,2026,5,15.26,0.0,76.3,76.3,Completed,1,Direct
900035,2026-02-16,10243,2034,4,331.96,0.0,1327.84,1327.84,Cancelled,0,Organic
900036,2025-11-10,10164,2011,4,134.0,0.2,536.0,428.8,Completed,1,Paid
900037,2025-06-22,10260,2054,5,449.18,0.05,2245.9,2133.61,Completed,1,Paid
900038,2026-02-22,10009,2024,3,193.56,0.1,580.68,522.61,Returned,0,Email
900039,2026-02-12,10461,2047,1,227.32,0.05,227.32,215.95,Completed,1,Email
900040,2026-02-02,10297,2037,2,352.38,0.1,704.76,634.28,Completed,1,Organic
900041,2025-11-19,10370,2040,4,27.36,0.0,109.44,109.44,Completed,1,Organic
900042,2025-12-25,10057,2013,1,426.31,0.0,426.31,426.31,Completed,1,Paid
900043,2025-04-15,10211,2033,5,15.18,0.15,75.9,64.52,Cancelled,0,Direct
900044,2025-02-01,10362,2009,5,291.4,0.0,1457.0,1457.0,Completed,1,Email
900045,2025-09-27,10193,2021,2,121.12,0.05,242.24,230.13,Completed,1,Email
900046,2025-12-13,10396,2056,3,168.58,0.05,505.74,480.45,Completed,1,Organic
900047,2025-10-13,10153,2015,3,229.89,0.1,689.67,620.7,Completed,1,Email
900048,2025-09-08,10163,2031,3,252.94,0.05,758.82,720.88,Cancelled,0,Direct
900049,2025-05-28,10063,2037,5,352.38,0.0,1761.9,1761.9,Returned,0,Direct
900050,2026-01-31,10412,2010,3,53.34,0.0,160.02,160.02,Returned,0,Organic
900051,2025-08-15,10336,2017,4,378.92,0.0,1515.68,1515.68,Completed,1,Organic
900052,2025-10-15,10357,2018,2,68.82,0.0,137.64,137.64,Completed,1,Organic
900053,2025-01-26,10343,2058,5,353.34,0.0,1766.7,1766.7,Completed,1,Organic
900054,2025-06-19,10368,2031,1,252.94,0.1,252.94,227.65,Completed,1,Referral
900055,2025-03-22,10209,2042,4,248.02,0.05,992.08,942.48,Completed,1,Referral
900056,2025-06-14,10147,2042,1,248.02,0.15,248.02,210.82,Completed,1,Email
900057,2025-10-01,10379,2047,1,227.32,0.15,227.32,193.22,Completed,1,Direct
900058,2025-04-01,10479,2059,1,352.1,0.2,352.1,281.68,Completed,1,Paid
900059,2026-01-19,10493,2056,3,168.58,0.15,505.74,429.88,Completed,1,Email
900060,2025-02-24,10476,2022,3,329.44,0.05,988.32,938.9,Completed,1,Email
900061,2025-03-10,10436,2033,4,15.18,0.0,60.72,60.72,Completed,1,Paid
900062,2026-01-10,10235,2042,3,248.02,0.1,744.06,669.65,Completed,1,Paid
900063,2025-06-01,10291,2044,2,390.68,0.0,781.36,781.36,Completed,1,Direct
900064,2026-02-28,10219,2033,3,15.18,0.0,45.54,45.54,Completed,1,Organic
900065,2025-03-13,10245,2021,2,121.12,0.0,242.24,242.24,Completed,1,Paid
900066,2025-05-17,10489,2022,3,329.44,0.05,988.32,938.9,Completed,1,Organic
900067,2025-07-04,10355,2016,1,173.71,0.05,173.71,165.02,Completed,1,Organic
900068,2025-12-18,10258,2060,3,258.72,0.1,776.16,698.54,Completed,1,Referral
900069,2025-07-08,10315,2015,2,229.89,0.2,459.78,367.82,Completed,1,Paid
900070,2025-11-07,10192,2027,5,71.46,0.15,357.3,303.7,Completed,1,Direct
900071,2026-02-27,10112,2049,2,42.89,0.1,85.78,77.2,Completed,1,Direct
900072,2025-09-27,10229,2034,3,331.96,0.0,995.88,995.88,Completed,1,Organic
900073,2025-10-08,10463,2033,2,15.18,0.05,30.36,28.84,Completed,1,Paid
900074,2025-09-24,10227,2008,2,362.16,0.1,724.32,651.89,Completed,1,Direct
900075,2025-08-17,10415,2004,4,365.41,0.0,1461.64,1461.64,Completed,1,Email
900076,2025-10-14,10237,2044,3,390.68,0.1,1172.04,1054.84,Completed,1,Direct
900077,2026-01-17,10112,2038,1,287.23,0.0,287.23,287.23,Completed,1,Organic
900078,2025-01-31,10479,2058,1,353.34,0.2,353.34,282.67,Completed,1,Paid
900079,2025-04-03,10394,2009,4,291.4,0.0,1165.6,1165.6,Cancelled,0,Paid
900080,2025-07-13,10193,2006,5,212.06,0.0,1060.3,1060.3,Completed,1,Organic
900081,2025-10-03,10202,2034,2,331.96,0.1,663.92,597.53,Completed,1,Organic
900082,2025-01-12,10153,2030,5,240.52,0.0,1202.6,1202.6,Completed,1,Organic
900083,2025-08-24,10178,2010,3,53.34,0.0,160.02,160.02,Cancelled,0,Direct
900084,2025-01-17,10415,2043,4,92.47,0.05,369.88,351.39,Cancelled,0,Direct
900085,2025-05-04,10106,2005,1,170.59,0.05,170.59,162.06,Completed,1,Email
900086,2026-03-23,10025,2016,1,173.71,0.0,173.71,173.71,Completed,1,Organic
900087,2026-03-19,10398,2004,2,365.41,0.05,730.82,694.28,Completed,1,Direct
900088,2026-01-10,10295,2021,5,121.12,0.05,605.6,575.32,Completed,1,Paid
900089,2025-06-04,10449,2010,5,53.34,0.0,266.7,266.7,Completed,1,Organic
900090,2025-10-30,10451,2048,2,237.52,0.05,475.04,451.29,Completed,1,Paid
900091,2025-06-26,10483,2042,4,248.02,0.1,992.08,892.87,Completed,1,Paid
900092,2025-03-18,10154,2025,2,57.0,0.1,114.0,102.6,Completed,1,Direct
900093,2025-06-03,10440,2046,2,403.43,0.1,806.86,726.17,Cancelled,0,Email
900094,2025-08-02,10286,2034,2,331.96,0.0,663.92,663.92,Completed,1,Paid
900095,2025-02-10,10473,2029,3,45.84,0.0,137.52,137.52,Completed,1,Organic
900096,2025-05-18,10194,2044,5,390.68,0.05,1953.4,1855.73,Cancelled,0,Organic
900097,2026-01-25,10301,2047,5,227.32,0.0,1136.6,1136.6,Completed,1,Referral
900098,2025-06-05,10490,2059,1,352.1,0.0,352.1,352.1,Completed,1,Direct
900099,2026-01-18,10387,2031,2,252.94,0.1,505.88,455.29,Completed,1,Paid
900100,2025-05-03,10283,2021,3,121.12,0.0,363.36,363.36,Completed,1,Paid
900101,2025-05-14,10185,2033,4,15.18,0.05,60.72,57.68,Completed,1,Direct
900102,2026-01-25,10430,2021,2,121.12,0.0,242.24,242.24,Completed,1,Email
900103,2025-04-24,10380,2010,1,53.34,0.0,53.34,53.34,Cancelled,0,Email
900104,2025-08-02,10152,2010,2,53.34,0.0,106.68,106.68,Completed,1,Direct
900105,2025-09-13,10282,2042,3,248.02,0.0,744.06,744.06,Completed,1,Referral
900106,2025-11-25,10379,2032,4,288.97,0.0,1155.88,1155.88,Completed,1,Organic
900107,2026-01-04,10280,2032,2,288.97,0.15,577.94,491.25,Completed,1,Email
900108,2025-01-31,10269,2003,1,206.43,0.15,206.43,175.47,Completed,1,Direct
900109,2025-07-31,10071,2054,2,449.18,0.0,898.36,898.36,Completed,1,Organic
900110,2025-08-22,10192,2004,5,365.41,0.05,1827.05,1735.7,Cancelled,0,Referral
900111,2025-12-04,10250,2002,1,204.34,0.05,204.34,194.12,Completed,1,Organic
900112,2026-01-05,10141,2035,3,332.95,0.0,998.85,998.85,Completed,1,Email
900113,2026-02-17,10482,2059,2,352.1,0.0,704.2,704.2,Completed,1,Organic
900114,2025-04-09,10318,2034,3,331.96,0.1,995.88,896.29,Completed,1,Paid
900115,2025-07-11,10492,2026,4,15.26,0.05,61.04,57.99,Returned,0,Organic
900116,2025-12-17,10424,2055,1,426.97,0.05,426.97,405.62,Completed,1,Direct
900117,2025-02-17,10208,2025,4,57.0,0.05,228.0,216.6,Completed,1,Organic
900118,2025-03-29,10043,2032,4,288.97,0.05,1155.88,1098.09,Completed,1,Referral
900119,2025-02-18,10459,2034,1,331.96,0.0,331.96,331.96,Cancelled,0,Email
900120,2025-10-18,10244,2018,1,68.82,0.15,68.82,58.5,Completed,1,Paid
900121,2025-10-06,10289,2043,1,92.47,0.0,92.47,92.47,Completed,1,Organic
900122,2025-04-17,10301,2010,4,53.34,0.15,213.36,181.36,Completed,1,Email
900123,2025-10-18,10428,2055,4,426.97,0.1,1707.88,1537.09,Completed,1,Paid
900124,2026-01-14,10072,2051,1,300.13,0.05,300.13,285.12,Returned,0,Organic
900125,2025-08-12,10119,2054,1,449.18,0.0,449.18,449.18,Completed,1,Referral
900126,2025-07-23,10497,2050,3,249.1,0.0,747.3,747.3,Completed,1,Referral
900127,2025-09-09,10117,2023,5,135.34,0.15,676.7,575.2,Completed,1,Email
900128,2025-12-05,10195,2006,5,212.06,0.0,1060.3,1060.3,Completed,1,Organic
900129,2025-05-18,10079,2025,2,57.0,0.1,114.0,102.6,Completed,1,Organic
900130,2025-01-03,10483,2020,4,206.28,0.0,825.12,825.12,Completed,1,Organic
900131,2025-04-06,10221,2029,5,45.84,0.05,229.2,217.74,Completed,1,Organic
900132,2025-07-01,10284,2006,5,212.06,0.05,1060.3,1007.28,Completed,1,Paid
900133,2025-05-30,10212,2025,1,57.0,0.1,57.0,51.3,Completed,1,Referral
900134,2025-05-05,10293,2034,2,331.96,0.1,663.92,597.53,Completed,1,Organic
900135,2025-05-18,10253,2010,1,53.34,0.0,53.34,53.34,Completed,1,Paid
900136,2026-02-05,10040,2024,3,193.56,0.15,580.68,493.58,Completed,1,Paid
900137,2025-11-12,10101,2030,1,240.52,0.0,240.52,240.52,Completed,1,Paid
900138,2026-03-07,10318,2025,3,57.0,0.0,171.0,171.0,Completed,1,Direct
900139,2025-11-30,10499,2039,2,351.08,0.0,702.16,702.16,Completed,1,Email
900140,2025-09-03,10161,2012,4,408.15,0.2,1632.6,1306.08,Completed,1,Email
900141,2025-09-09,10496,2037,2,352.38,0.0,704.76,704.76,Completed,1,Direct
900142,2025-07-06,10059,2060,5,258.72,0.0,1293.6,1293.6,Returned,0,Organic
900143,2026-01-29,10282,2002,4,204.34,0.15,817.36,694.76,Completed,1,Direct
900144,2026-03-02,10355,2005,4,170.59,0.1,682.36,614.12,Completed,1,Paid
900145,2025-05-10,10338,2010,4,53.34,0.1,213.36,192.02,Completed,1,Referral
900146,2025-09-03,10299,2026,5,15.26,0.05,76.3,72.48,Cancelled,0,Email
900147,2025-10-06,10019,2051,3,300.13,0.1,900.39,810.35,Completed,1,Email
900148,2025-02-13,10056,2050,2,249.1,0.05,498.2,473.29,Completed,1,Email
900149,2025-01-23,10289,2042,4,248.02,0.2,992.08,793.66,Completed,1,Direct
900150,2025-02-24,10006,2007,3,241.14,0.0,723.42,723.42,Completed,1,Email
900151,2025-12-19,10295,2015,4,229.89,0.0,919.56,919.56,Completed,1,Email
900152,2025-12-20,10257,2010,3,53.34,0.2,160.02,128.02,Completed,1,Paid
900153,2025-02-13,10060,2054,2,449.18,0.0,898.36,898.36,Completed,1,Direct
900154,2025-09-24,10248,2023,4,135.34,0.0,541.36,541.36,Completed,1,Paid
900155,2025-02-04,10154,2003,1,206.43,0.0,206.43,206.43,Completed,1,Organic
900156,2026-02-14,10085,2060,2,258.72,0.05,517.44,491.57,Completed,1,Paid
900157,2025-08-07,10491,2030,2,240.52,0.1,481.04,432.94,Completed,1,Organic
900158,2025-12-03,10222,2026,1,15.26,0.1,15.26,13.73,Cancelled,0,Paid
900159,2025-08-08,10200,2001,2,189.6,0.0,379.2,379.2,Completed,1,Direct
900160,2025-02-02,10296,2007,5,241.14,0.0,1205.7,1205.7,Completed,1,Paid
900161,2025-05-15,10344,2056,4,168.58,0.05,674.32,640.6,Completed,1,Email
900162,2025-11-09,10201,2038,1,287.23,0.0,287.23,287.23,Completed,1,Email
900163,2026-02-21,10345,2046,3,403.43,0.15,1210.29,1028.75,Completed,1,Email
900164,2025-06-10,10061,2016,3,173.71,0.0,521.13,521.13,Completed,1,Organic
900165,2025-07-18,10215,2039,2,351.08,0.05,702.16,667.05,Completed,1,Paid
900166,2025-10-03,10356,2059,2,352.1,0.05,704.2,668.99,Completed,1,Organic
900167,2025-06-11,10432,2029,5,45.84,0.0,229.2,229.2,Completed,1,Organic
900168,2025-03-11,10100,2053,4,26.72,0.2,106.88,85.5,Completed,1,Paid
900169,2025-12-17,10252,2027,4,71.46,0.05,285.84,271.55,Completed,1,Organic
900170,2026-01-25,10113,2019,1,315.66,0.0,315.66,315.66,Completed,1,Organic
900171,2025-08-23,10290,2048,4,237.52,0.05,950.08,902.58,Completed,1,Organic
900172,2026-02-01,10279,2053,3,26.72,0.05,80.16,76.15,Completed,1,Direct
900173,2025-08-14,10280,2014,4,162.52,0.0,650.08,650.08,Completed,1,Direct
900174,2025-06-02,10448,2003,4,206.43,0.0,825.72,825.72,Completed,1,Organic
900175,2026-03-20,10061,2050,2,249.1,0.0,498.2,498.2,Completed,1,Email
900176,2026-03-17,10364,2040,4,27.36,0.0,109.44,109.44,Completed,1,Organic
900177,2025-04-16,10413,2004,5,365.41,0.0,1827.05,1827.05,Completed,1,Email
900178,2025-06-15,10361,2019,3,315.66,0.05,946.98,899.63,Returned,0,Paid
900179,2025-12-14,10418,2007,2,241.14,0.2,482.28,385.82,Completed,1,Referral
900180,2025-05-22,10444,2042,2,248.02,0.1,496.04,446.44,Completed,1,Organic
900181,2025-06-14,10425,2016,4,173.71,0.05,694.84,660.1,Completed,1,Organic
900182,2025-08-01,10193,2029,1,45.84,0.05,45.84,43.55,Cancelled,0,Organic
900183,2025-09-21,10384,2018,3,68.82,0.05,206.46,196.14,Completed,1,Email
900184,2026-03-21,10397,2055,1,426.97,0.1,426.97,384.27,Completed,1,Email
900185,2025-07-03,10436,2005,5,170.59,0.0,852.95,852.95,Returned,0,Direct
900186,2025-09-11,10138,2021,3,121.12,0.0,363.36,363.36,Completed,1,Email
900187,2025-09-06,10404,2022,1,329.44,0.0,329.44,329.44,Completed,1,Direct
900188,2025-01-09,10064,2060,2,258.72,0.0,517.44,517.44,Completed,1,Referral
900189,2025-04-14,10353,2059,2,352.1,0.15,704.2,598.57,Completed,1,Direct
900190,2026-03-25,10141,2006,3,212.06,0.0,636.18,636.18,Completed,1,Referral
900191,2025-03-26,10027,2026,3,15.26,0.1,45.78,41.2,Completed,1,Paid
